node,close_centrality
0,0.7843137254901961
102,0.6976744186046512
17,0.6185567010309279
51,0.8163265306122449
47,0.851063829787234
30,0.7272727272727273
27,0.8955223880597015
67,0.7453416149068323
89,0.7142857142857143
80,0.6896551724137931
40,0.7692307692307693
109,0.7228915662650602
19,0.7058823529411765
50,0.8108108108108109
41,0.8053691275167785
23,0.7792207792207793
96,0.7100591715976331
106,0.718562874251497
8,0.6030150753768844
12,0.6030150753768844
33,0.8823529411764706
42,0.7947019867549668
16,0.6382978723404256
56,0.8108108108108109
18,0.7843137254901961
35,0.6153846153846154
43,0.6896551724137931
4,0.7947019867549668
44,0.6936416184971098
24,0.6741573033707865
36,0.8450704225352113
45,0.7843137254901961
3,0.916030534351145
28,0.8955223880597015
21,0.75
11,0.7894736842105263
37,0.8391608391608392
31,0.718562874251497
29,0.8571428571428571
34,0.6060606060606061
25,0.718562874251497
32,0.8333333333333334
1,0.759493670886076
9,0.8823529411764706
7,0.851063829787234
14,0.6857142857142857
10,0.8571428571428571
38,0.7692307692307693
26,0.9375
5,0.7741935483870968
22,0.7947019867549668
6,0.9302325581395349
73,0.7547169811320755
87,0.7017543859649122
55,0.75
83,0.718562874251497
39,0.8633093525179856
99,0.7317073170731707
85,0.7407407407407407
61,0.7692307692307693
114,0.7100591715976331
52,0.821917808219178
105,0.7361963190184049
70,0.7741935483870968
63,0.7692307692307693
60,0.8053691275167785
2,0.5172413793103449
90,0.7228915662650602
119,0.6557377049180327
92,0.6629834254143646
111,0.6741573033707865
88,0.7058823529411765
103,0.6976744186046512
95,0.6779661016949152
117,0.6486486486486487
74,0.8
78,0.6857142857142857
68,0.7643312101910829
94,0.718562874251497
104,0.7142857142857143
118,0.6486486486486487
93,0.6818181818181818
76,0.7894736842105263
97,0.6779661016949152
101,0.7100591715976331
79,0.7100591715976331
77,0.7453416149068323
108,0.6382978723404256
64,0.7741935483870968
13,0.5607476635514018
71,0.7792207792207793
59,0.7100591715976331
62,0.7272727272727273
53,0.8275862068965517
58,0.8163265306122449
107,0.6557377049180327
15,0.5797101449275363
48,0.8450704225352113
84,0.6666666666666666
98,0.7058823529411765
66,0.7100591715976331
82,0.7361963190184049
65,0.7547169811320755
72,0.75
46,0.851063829787234
86,0.718562874251497
54,0.8053691275167785
49,0.7407407407407407
20,0.7741935483870968
91,0.625
113,0.6349206349206349
57,0.821917808219178
120,0.6521739130434783
69,0.7453416149068323
81,0.6936416184971098
112,0.6153846153846154
110,0.6185567010309279
115,0.6282722513089005
116,0.6282722513089005
75,0.718562874251497
100,0.6896551724137931
