node,deg_centrality
0,1.15
102,1.4916666666666667
17,0.5
51,1.4833333333333334
47,1.7166666666666666
30,0.9833333333333333
27,1.6916666666666667
67,1.2666666666666666
89,1.2333333333333334
80,1.15
40,1.4333333333333333
109,1.1666666666666667
19,0.8666666666666667
50,1.5416666666666667
41,1.4166666666666667
23,1.1333333333333333
96,1.5583333333333333
106,1.1166666666666667
8,0.55
12,0.5
33,1.8
42,1.5166666666666666
16,0.6416666666666666
56,1.6833333333333333
18,1.2
35,0.6
43,0.9249999999999999
4,0.9
44,1.025
24,0.9
36,1.7
45,1.125
3,1.8416666666666666
28,1.875
21,1.0333333333333332
11,0.85
37,1.5666666666666667
31,1.2583333333333333
29,1.4916666666666667
34,0.3833333333333333
25,0.95
32,1.5
1,1.0666666666666667
9,1.3583333333333334
7,1.2416666666666667
14,0.9916666666666667
10,1.4166666666666667
38,1.675
26,1.8916666666666666
5,0.9249999999999999
22,1.2
6,1.4916666666666667
73,1.3916666666666666
87,1.4333333333333333
55,1.1416666666666666
83,1.2333333333333334
39,1.675
99,1.1833333333333333
85,1.3583333333333334
61,1.5583333333333333
114,1.4916666666666667
52,1.6916666666666667
105,1.4
70,1.5166666666666666
63,1.6333333333333333
60,1.5333333333333332
2,0.1
90,1.4583333333333333
119,1.1833333333333333
92,0.975
111,0.9583333333333334
88,1.15
103,1.325
95,1.0083333333333333
117,1.2916666666666667
74,1.6083333333333334
78,1.2666666666666666
68,1.2166666666666666
94,1.5333333333333332
104,1.35
118,0.8416666666666667
93,1.3833333333333333
76,1.3666666666666667
97,1.3833333333333333
101,1.25
79,1.4166666666666667
77,1.3833333333333333
108,0.9666666666666667
64,1.3166666666666667
13,0.35833333333333334
71,1.6
59,1.2666666666666666
62,1.15
53,1.7333333333333334
58,1.6833333333333333
107,1.4666666666666666
15,0.5333333333333333
48,1.6916666666666667
84,1.1833333333333333
98,1.2083333333333333
66,1.0916666666666666
82,1.5166666666666666
65,1.4833333333333334
72,1.4666666666666666
46,1.675
86,1.5833333333333333
54,1.5916666666666666
49,0.9833333333333333
20,1.525
91,1.1416666666666666
113,1.075
57,1.7583333333333333
120,0.95
69,1.3166666666666667
81,0.9916666666666667
112,1.3916666666666666
110,0.9083333333333333
115,1.1666666666666667
116,1.2583333333333333
75,1.5416666666666667
100,1.2583333333333333
