,in_deg_centrality,out_deg_centrality,close_centrality,between_centrality,eigenvec_centrality,pagerank
in_deg_centrality,1.0,0.4750936951268469,0.9858272679085714,0.7571066521829423,0.9980752241406533,0.8732502738875048
out_deg_centrality,0.4750936951268469,1.0,0.4307413249058054,0.5142823258272757,0.4606255269222126,0.11638777918515729
close_centrality,0.9858272679085714,0.4307413249058054,1.0,0.811433429758725,0.9822322392050279,0.899998439426141
between_centrality,0.7571066521829423,0.5142823258272757,0.811433429758725,1.0,0.7444332984344685,0.7677295012912162
eigenvec_centrality,0.9980752241406533,0.4606255269222126,0.9822322392050279,0.7444332984344685,1.0,0.8722334312590512
pagerank,0.8732502738875048,0.11638777918515729,0.899998439426141,0.7677295012912162,0.8722334312590512,1.0
