node,eigenvec_centrality
0,0.10032078053879077
102,0.07966214378616226
17,0.05462492910149721
51,0.10851303838580274
47,0.11447373612600696
30,0.08866684152669392
27,0.12180253337536995
67,0.09263175760228054
89,0.08482598290846326
80,0.07808996854732105
40,0.09854501666340024
109,0.08674865320382584
19,0.08257670263085572
50,0.10761919874531457
41,0.10699109137152364
23,0.09842914029071417
96,0.08246150173905815
106,0.08695979636434376
8,0.047447595870428086
12,0.047253594796902956
33,0.12027463260233084
42,0.10320653231143674
16,0.061211607830597474
56,0.10523881947876215
18,0.10139919377080933
35,0.05507653802109461
43,0.07873271456788773
4,0.10192298305968626
44,0.08156505504519072
24,0.0731625850193953
36,0.11336730003898379
45,0.10250421148973084
3,0.12477696370113127
28,0.12161413369614317
21,0.09257062955258867
11,0.1009220032463624
37,0.11141436406948432
31,0.08699137687808622
29,0.11494902914405414
34,0.05003881209365716
25,0.08575670149868783
32,0.11178208650591383
1,0.09627975563724586
9,0.11779070617428461
7,0.11284698064512243
14,0.079172405419389
10,0.11465032297685412
38,0.09736363567221577
26,0.12795173947175786
5,0.09750453326977998
22,0.10315597588634698
6,0.12562064828481215
73,0.09385988837379244
87,0.08055140290031422
55,0.09296388804002159
83,0.08713713212402792
39,0.11751425133695476
99,0.08953852761298203
85,0.09052776868771649
61,0.09800275490170005
114,0.0854989669028711
52,0.10936811559376505
105,0.09169602983599814
70,0.09869674027439451
63,0.09752014338008144
60,0.10640473712020662
2,0.01172995968060069
90,0.08642075844810568
119,0.06902512039987772
92,0.07170413374967119
111,0.07503924570819569
88,0.0820321248963794
103,0.07953599673102216
95,0.07564847800977965
117,0.06437452473819086
74,0.1036957884877994
78,0.07958940354249935
68,0.09751901425952579
94,0.08520705860763321
104,0.08558975775635265
118,0.06499481602699625
93,0.07672497389356964
76,0.10273486032889262
97,0.0733397487759506
101,0.08331880651832466
79,0.08485855239751955
77,0.09299971084181201
108,0.06460950807822735
64,0.09881975591751323
13,0.031349328680395444
71,0.09925230700985835
59,0.08265159326847044
62,0.08970944865199124
53,0.10924643446240417
58,0.10767812494845388
107,0.06542995952581585
15,0.03971087053620542
48,0.11214820753009246
84,0.07239151756270681
98,0.08158313302799805
66,0.0850811722231385
82,0.08949548859400142
65,0.09480169136451484
72,0.09435838858531989
46,0.115035448092795
86,0.08463523809378003
54,0.10649043407156535
49,0.09236890816219594
20,0.10111333058191116
91,0.05952838716111904
113,0.06276792162035678
57,0.10883932314701245
120,0.06899547147549047
69,0.0929791457276964
81,0.07918245477619064
112,0.05285536808722099
110,0.05574895214293813
115,0.059160209038923044
116,0.0588657329341124
75,0.08810205402790693
100,0.07950059111425785
