node,deg_centrality,in_deg_centrality,out_deg_centrality,close_centrality,between_centrality,eigenvec_centrality,pagerank
0,1.15,0.725,0.425,0.7843137254901961,0.0037116926065760346,0.10032078053879077,0.011872606450432697
102,1.4916666666666667,0.575,0.9166666666666666,0.6976744186046512,0.0029647533978632537,0.07966214378616226,0.00665462393487842
17,0.5,0.3833333333333333,0.11666666666666667,0.6185567010309279,0.0001088626230142495,0.05462492910149721,0.005776391956276579
51,1.4833333333333334,0.775,0.7083333333333334,0.8163265306122449,0.0035970576267282403,0.10851303838580274,0.009821500081308752
47,1.7166666666666666,0.825,0.8916666666666666,0.851063829787234,0.005868030267268235,0.11447373612600696,0.01026023545406324
30,0.9833333333333333,0.625,0.35833333333333334,0.7272727272727273,0.0022553451390120998,0.08866684152669392,0.009410706651981005
27,1.6916666666666667,0.8833333333333333,0.8083333333333333,0.8955223880597015,0.00850890739623171,0.12180253337536995,0.012308634537539154
67,1.2666666666666666,0.6583333333333333,0.6083333333333333,0.7453416149068323,0.0022700783165136504,0.09263175760228054,0.008123033003825835
89,1.2333333333333334,0.6,0.6333333333333333,0.7142857142857143,0.0016574651302886836,0.08482598290846326,0.007125220258418729
80,1.15,0.55,0.6,0.6896551724137931,0.0018260624423809264,0.07808996854732105,0.006746528290264836
40,1.4333333333333333,0.7,0.7333333333333333,0.7692307692307693,0.004434863333670875,0.09854501666340024,0.009263005792652712
109,1.1666666666666667,0.6166666666666667,0.55,0.7228915662650602,0.0016301240747585493,0.08674865320382584,0.0072976499982393295
19,0.8666666666666667,0.5833333333333334,0.2833333333333333,0.7058823529411765,0.0012906833701119907,0.08257670263085572,0.009358879302389477
50,1.5416666666666667,0.7666666666666666,0.775,0.8108108108108109,0.003729578472969018,0.10761919874531457,0.009463779912559344
41,1.4166666666666667,0.7583333333333333,0.6583333333333333,0.8053691275167785,0.003837932556903532,0.10699109137152364,0.010076917189268588
23,1.1333333333333333,0.7166666666666667,0.4166666666666667,0.7792207792207793,0.00523317317423902,0.09842914029071417,0.011371590010522379
96,1.5583333333333333,0.6,0.9583333333333334,0.7100591715976331,0.0031769733537492595,0.08246150173905815,0.006900569152516831
106,1.1166666666666667,0.6166666666666667,0.5,0.718562874251497,0.0012168084406503528,0.08695979636434376,0.007308632171031776
8,0.55,0.3416666666666667,0.20833333333333334,0.6030150753768844,0.0009102709944789946,0.047447595870428086,0.007589161167429489
12,0.5,0.3416666666666667,0.15833333333333333,0.6030150753768844,0.00018443987076077972,0.047253594796902956,0.005120215876473818
33,1.8,0.8666666666666667,0.9333333333333333,0.8823529411764706,0.007640216847491707,0.12027463260233084,0.011304826278355206
42,1.5166666666666666,0.7416666666666667,0.775,0.7947019867549668,0.0049291203087599,0.10320653231143674,0.009271066876380237
16,0.6416666666666666,0.43333333333333335,0.20833333333333334,0.6382978723404256,0.0006233650486762472,0.061211607830597474,0.00702624189489948
56,1.6833333333333333,0.7666666666666666,0.9166666666666666,0.8108108108108109,0.00523973296427747,0.10523881947876215,0.009093446663455587
18,1.2,0.725,0.475,0.7843137254901961,0.003858755589437278,0.10139919377080933,0.01130968787183094
35,0.6,0.375,0.225,0.6153846153846154,0.0003114103830382255,0.05507653802109461,0.006592007086349164
43,0.9249999999999999,0.55,0.375,0.6896551724137931,0.0013287176146001322,0.07873271456788773,0.008003094411867084
4,0.9,0.7416666666666667,0.15833333333333333,0.7947019867549668,0.0008180333432448819,0.10192298305968626,0.010669692806933133
44,1.025,0.5583333333333333,0.4666666666666667,0.6936416184971098,0.0013776799256819067,0.08156505504519072,0.007592891141573134
24,0.9,0.5166666666666666,0.3833333333333333,0.6741573033707865,0.0015559330792103835,0.0731625850193953,0.008637141545115867
36,1.7,0.8166666666666667,0.8833333333333333,0.8450704225352113,0.006076448322761973,0.11336730003898379,0.010265555981133326
45,1.125,0.725,0.4,0.7843137254901961,0.0012110442024475206,0.10250421148973084,0.009288375736813433
3,1.8416666666666666,0.9083333333333333,0.9333333333333333,0.916030534351145,0.015261935429350086,0.12477696370113127,0.013834423559587776
28,1.875,0.8833333333333333,0.9916666666666667,0.8955223880597015,0.010592174934807023,0.12161413369614317,0.011779821522166821
21,1.0333333333333332,0.6666666666666666,0.36666666666666664,0.75,0.0027251808423524653,0.09257062955258867,0.01074227256965735
11,0.85,0.7333333333333333,0.11666666666666667,0.7894736842105263,0.00041870073269450277,0.1009220032463624,0.010608617373908318
37,1.5666666666666667,0.8083333333333333,0.7583333333333333,0.8391608391608392,0.005743178815197144,0.11141436406948432,0.010396508131180222
31,1.2583333333333333,0.6083333333333333,0.65,0.718562874251497,0.003905379191281658,0.08699137687808622,0.008769678019732895
29,1.4916666666666667,0.8333333333333334,0.6583333333333333,0.8571428571428571,0.005166717117240515,0.11494902914405414,0.011382658828132096
34,0.3833333333333333,0.35,0.03333333333333333,0.6060606060606061,8.796003871271477e-05,0.05003881209365716,0.006355607591863889
25,0.95,0.6083333333333333,0.3416666666666667,0.718562874251497,0.001965497168350394,0.08575670149868783,0.009950461630648595
32,1.5,0.8,0.7,0.8333333333333334,0.004274422004233182,0.11178208650591383,0.010484731307955564
1,1.0666666666666667,0.6833333333333333,0.3833333333333333,0.759493670886076,0.0028237537393155476,0.09627975563724586,0.010588848563616981
9,1.3583333333333334,0.8666666666666667,0.49166666666666664,0.8823529411764706,0.010129461019240666,0.11779070617428461,0.014060335199667354
7,1.2416666666666667,0.825,0.4166666666666667,0.851063829787234,0.007602961389665809,0.11284698064512243,0.013517939851140897
