node,out_deg_centrality
0,0.425
102,0.9166666666666666
17,0.11666666666666667
51,0.7083333333333334
47,0.8916666666666666
30,0.35833333333333334
27,0.8083333333333333
67,0.6083333333333333
89,0.6333333333333333
80,0.6
40,0.7333333333333333
109,0.55
19,0.2833333333333333
50,0.775
41,0.6583333333333333
23,0.4166666666666667
96,0.9583333333333334
106,0.5
8,0.20833333333333334
12,0.15833333333333333
33,0.9333333333333333
42,0.775
16,0.20833333333333334
56,0.9166666666666666
18,0.475
35,0.225
43,0.375
4,0.15833333333333333
44,0.4666666666666667
24,0.3833333333333333
36,0.8833333333333333
45,0.4
3,0.9333333333333333
28,0.9916666666666667
21,0.36666666666666664
11,0.11666666666666667
37,0.7583333333333333
31,0.65
29,0.6583333333333333
34,0.03333333333333333
25,0.3416666666666667
32,0.7
1,0.3833333333333333
9,0.49166666666666664
7,0.4166666666666667
14,0.45
10,0.5833333333333334
38,0.975
26,0.9583333333333334
5,0.21666666666666667
22,0.4583333333333333
6,0.5666666666666667
73,0.7083333333333334
87,0.85
55,0.475
83,0.625
39,0.8333333333333334
99,0.55
85,0.7083333333333334
61,0.85
114,0.8916666666666666
52,0.9
105,0.75
70,0.8
63,0.9249999999999999
60,0.775
2,0.025
90,0.8333333333333334
119,0.6916666666666667
92,0.4666666666666667
111,0.43333333333333335
88,0.5666666666666667
103,0.75
95,0.475
117,0.825
74,0.8583333333333333
78,0.7083333333333334
68,0.525
94,0.9166666666666666
104,0.7333333333333333
118,0.3833333333333333
93,0.8333333333333334
76,0.6333333333333333
97,0.85
101,0.6416666666666666
79,0.8083333333333333
77,0.7166666666666667
108,0.5166666666666666
64,0.6083333333333333
13,0.14166666666666666
71,0.8833333333333333
59,0.675
62,0.525
53,0.9416666666666667
58,0.9
107,0.9833333333333333
15,0.2583333333333333
48,0.875
84,0.675
98,0.6166666666666667
66,0.49166666666666664
82,0.8666666666666667
65,0.8083333333333333
72,0.8
46,0.85
86,0.9666666666666667
54,0.8333333333333334
49,0.3333333333333333
20,0.8166666666666667
91,0.725
113,0.6333333333333333
57,0.975
120,0.4666666666666667
69,0.6583333333333333
81,0.43333333333333335
112,0.9916666666666667
110,0.49166666666666664
115,0.7333333333333333
116,0.825
75,0.9
100,0.675
