node,pagerank
0,0.011872606450432697
102,0.00665462393487842
17,0.005776391956276579
51,0.009821500081308752
47,0.01026023545406324
30,0.009410706651981005
27,0.012308634537539154
67,0.008123033003825835
89,0.007125220258418729
80,0.006746528290264836
40,0.009263005792652712
109,0.0072976499982393295
19,0.009358879302389477
50,0.009463779912559344
41,0.010076917189268588
23,0.011371590010522379
96,0.006900569152516831
106,0.007308632171031776
8,0.007589161167429489
12,0.005120215876473818
33,0.011304826278355206
42,0.009271066876380237
16,0.00702624189489948
56,0.009093446663455587
18,0.01130968787183094
35,0.006592007086349164
43,0.008003094411867084
4,0.010669692806933133
44,0.007592891141573134
24,0.008637141545115867
36,0.010265555981133326
45,0.009288375736813433
3,0.013834423559587776
28,0.011779821522166821
21,0.01074227256965735
11,0.010608617373908318
37,0.010396508131180222
31,0.008769678019732895
29,0.011382658828132096
34,0.006355607591863889
25,0.009950461630648595
32,0.010484731307955564
1,0.010588848563616981
9,0.014060335199667354
7,0.013517939851140897
14,0.008149854157786131
10,0.013688955159142183
38,0.008737641590066984
26,0.013236927820398538
5,0.011918995650226007
22,0.011949057911943459
6,0.013971541100870172
73,0.007607590900175248
87,0.006561977157235973
55,0.008163443315052716
83,0.007517037641096768
39,0.010769245743137286
99,0.007524251365436659
85,0.007409112133011937
61,0.00836322363428717
114,0.007363412970358184
52,0.009510630831024009
105,0.007873545028172625
70,0.008055404937123612
63,0.008271835018462457
60,0.009184275192452967
2,0.002208302911914546
90,0.007079831563077624
119,0.005783575717098841
92,0.006090857405239326
111,0.006414995757602323
88,0.007518223773974176
103,0.006991323526139483
95,0.006084216639320605
117,0.005121639833142684
74,0.008577521177117454
78,0.006405529352511454
68,0.008726103339310514
94,0.007339227408913041
104,0.007151322869707018
118,0.0055910392792681545
93,0.006234394454171231
76,0.008960597686071565
97,0.006228515305395994
101,0.006747992029236795
79,0.0068101184914877155
77,0.0076681471556382455
108,0.005311811178862881
64,0.008704821685726795
13,0.003660113440930027
71,0.008182335462203568
59,0.006887110638951477
62,0.007552226507045004
53,0.009329006977661666
58,0.009136847994001059
107,0.005427078089724372
15,0.004533617356667937
48,0.010056917053586556
84,0.006334426562740388
98,0.006673041565008059
66,0.007305119894856941
82,0.00736119045295109
65,0.00821355519581466
72,0.007749129800726942
46,0.01048103485029001
86,0.006999964490130036
54,0.009247510124416526
49,0.008367008962621346
20,0.010636912513809441
91,0.005083645549647263
113,0.005045089011625458
57,0.009307253932574389
120,0.005900364431595955
69,0.00772672545525966
81,0.006683568939859434
112,0.004704772781703443
110,0.004656357466374566
115,0.005256480517658672
116,0.004931765715789314
75,0.007065588115403667
100,0.006550358713943209
